Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
14904 Kilbourne,21009856.,Homrich,$14521.00,11/26/2017,No,4,42.416432,-82.967009,"location
(42.416432, -82.967009)",Outer Drive-Hayes
14756 Kilbourne,21009868.,Homrich,$12004.00,11/26/2017,No,4,42.416431,-82.968861,"location
(42.416431, -82.968861)",Outer Drive-Hayes
12786 Kilbourne,21009948.,"Adamo Group, Inc.",$34180.00,11/13/2017,No,4,42.413207,-82.981393,"location
(42.413207, -82.981393)",Eden Gardens
11666 Mansfield,22057078.,Blue Star,$16400.00,11/14/2017,No,7,42.373578,-83.203267,"location
(42.373578, -83.203267)",Plymouth-I96
11680 Mansfield,22057080.,Blue Star,$22700.00,11/14/2017,No,7,42.37377,-83.203274,"location
(42.37377, -83.203274)",Plymouth-I96
11722 Mansfield,22057086.,Blue Star,$24900.00,11/14/2017,No,7,42.374346,-83.203294,"location
(42.374346, -83.203294)",Plymouth-I96
12000 Mansfield,22057089.,Blue Star,$18800.00,11/14/2017,No,7,42.374796,-83.20331,"location
(42.374796, -83.20331)",Plymouth-I96
12010 Mansfield,22057090.,Blue Star,$15400.00,11/14/2017,No,7,42.374906,-83.203314,"location
(42.374906, -83.203314)",Plymouth-I96
13674 Mecca,22006259.,"Adamo Group, Inc.",$14628.00,11/13/2017,No,7,42.374075,-83.179591,"location
(42.374075, -83.179591)",Paveway
11381 Evanston,21005134.,Rickman Enterprise Group,$11835.62,11/06/2017,No,4,42.398665,-82.988741,"location
(42.398665, -82.988741)",Ravendale
4412 Holcomb,19008244.,Homrich,$15835.00,11/26/2017,No,5,42.376298,-82.999355,"location
(42.376298, -82.999355)",Gratiot Woods
4520 Holcomb,19008250.,Homrich,$14343.00,11/26/2017,No,5,42.37682,-82.99976,"location
(42.37682, -82.99976)",Gratiot Woods
4526 Holcomb,19008251.,Homrich,$15081.00,11/26/2017,No,5,42.376893,-82.999812,"location
(42.376893, -82.999812)",Gratiot Woods
4532 Holcomb,19008252.,Homrich,$16229.00,11/26/2017,No,5,42.376966,-82.999864,"location
(42.376966, -82.999864)",Gratiot Woods
5042 Holcomb,19008292.,"Adamo Group, Inc.",$15693.00,11/13/2017,No,5,42.380737,-83.002541,"location
(42.380737, -83.002541)",Gratiot Woods
5098 Holcomb,19008301.,"Adamo Group, Inc.",$12634.00,11/13/2017,No,5,42.381392,-83.003009,"location
(42.381392, -83.003009)",Gratiot Woods
5390 Holcomb,19008332.,"Adamo Group, Inc.",$11600.00,11/13/2017,No,5,42.383752,-83.004703,"location
(42.383752, -83.004703)",Gratiot Woods
14810 Cheyenne,22025805-7,Salenbien Trucking & Excavating Inc.,$17015.00,12/19/2017,No,2,42.397612,-83.174271,"location
(42.397612, -83.174271)",Bethune Community
12847 Wade,21006306.,"Adamo Group, Inc.",$14685.00,11/13/2017,No,4,42.405163,-82.975123,"location
(42.405163, -82.975123)",Wade
13009 Hampshire,21005598.,"Adamo Group, Inc.",$13928.00,11/13/2017,No,4,42.40383,-82.973927,"location
(42.40383, -82.973927)",Outer Drive-Hayes
13021 Hampshire,21005600.,"Adamo Group, Inc.",$12009.00,11/13/2017,No,4,42.403483,-82.973483,"location
(42.403483, -82.973483)",Outer Drive-Hayes
13315 Chelsea,21008231.,Homrich,$13896.00,11/26/2017,No,4,42.41067,-82.974548,"location
(42.41067, -82.974548)",Outer Drive-Hayes
13339 Chelsea,21008235.,Homrich,$13746.00,11/26/2017,No,4,42.410809,-82.974146,"location
(42.410809, -82.974146)",Outer Drive-Hayes
13399 Chelsea,21008245.,Homrich,$13377.00,11/26/2017,No,4,42.411165,-82.973114,"location
(42.411165, -82.973114)",Outer Drive-Hayes
12253 Littlefield,22027432.,"Adamo Group, Inc.",$25412.00,11/13/2017,No,7,42.378205,-83.176086,"location
(42.378205, -83.176086)",Pride Area Community
11335 Littlefield,22027481.,"Adamo Group, Inc.",$11034.00,11/13/2017,No,7,42.371262,-83.175828,"location
(42.371262, -83.175828)",Barton-McFarland
11321 Littlefield,22027483.,"Adamo Group, Inc.",$27310.00,11/13/2017,No,7,42.371042,-83.175821,"location
(42.371042, -83.175821)",Barton-McFarland
15394 Snowden,22027765.,DMC Consultants,$15107.00,10/29/2017,No,2,42.403812,-83.176728,"location
(42.403812, -83.176728)",Bethune Community
9681 Bessemore,19002308.,"Adamo Group, Inc.",$13865.00,11/13/2017,No,3,42.395226,-83.005601,"location
(42.395226, -83.005601)",Airport Sub
13660 Castleton,22006429.,"Adamo Group, Inc.",$29782.00,11/13/2017,No,7,42.376462,-83.179424,"location
(42.376462, -83.179424)",Paveway
13661 Allonby,22006496.,"Adamo Group, Inc.",$16036.00,11/13/2017,No,7,42.377562,-83.179464,"location
(42.377562, -83.179464)",Paveway
14344 Ardmore,22034560.,Able Demolition,$16589.25,10/05/2017,No,7,42.393205,-83.183847,"location
(42.393205, -83.183847)",Grand River-I96
14400 Ardmore,22034567.,Able Demolition,$12585.71,10/05/2017,No,7,42.393973,-83.183877,"location
(42.393973, -83.183877)",Grand River-I96
14636 Ardmore,22034590.,Able Demolition,$13498.04,10/05/2017,No,2,42.396666,-83.183996,"location
(42.396666, -83.183996)",Bethune Community
15000 Ardmore,22034616.,Able Demolition,$15548.95,10/24/2017,No,2,42.39988,-83.184119,"location
(42.39988, -83.184119)",Bethune Community
15480 Ardmore,22034657.,Able Demolition,$15603.89,10/24/2017,No,2,42.40495,-83.184335,"location
(42.40495, -83.184335)",Bethune Community
15710 Ardmore,22034664.,Able Demolition,$13934.06,10/06/2017,No,2,42.405789,-83.18437,"location
(42.405789, -83.18437)",Bethune Community
15717 Pinehurst,16044326.,DMC Consultants,$16444.90,10/29/2017,No,2,42.406237,-83.166731,"location
(42.406237, -83.166731)",Bethune Community
15021 Pinehurst,16044366.,"Adamo Group, Inc.",$19133.00,11/13/2017,No,2,42.400475,-83.166418,"location
(42.400475, -83.166418)",Bethune Community
14717 Lannette,21010281.,Homrich,$13158.00,11/26/2017,No,4,42.417727,-82.969932,"location
(42.417727, -82.969932)",Outer Drive-Hayes
15003 Pinehurst,16044369.,"Adamo Group, Inc.",$23298.00,11/13/2017,No,2,42.40021,-83.166404,"location
(42.40021, -83.166404)",Bethune Community
14871 Pinehurst,16044383.,"Adamo Group, Inc.",$21945.00,11/13/2017,No,2,42.398875,-83.166322,"location
(42.398875, -83.166322)",Bethune Community
10036 Sussex,22046011.,"Adamo Group, Inc.",$11891.00,11/13/2017,No,7,42.36989,-83.193848,"location
(42.36989, -83.193848)",Plymouth-Hubbell
11708 Hubbell,22038848.,"Adamo Group, Inc.",$11829.00,11/13/2017,No,7,42.374454,-83.187464,"location
(42.374454, -83.187464)",Plymouth-Hubbell
11714 Hubbell,22038849.,"Adamo Group, Inc.",$12290.00,11/13/2017,No,7,42.374564,-83.18747,"location
(42.374564, -83.18747)",Plymouth-Hubbell
5067 Holcomb,19008637.,"Adamo Group, Inc.",$69683.00,11/13/2017,No,5,42.380796,-83.003328,"location
(42.380796, -83.003328)",Gratiot Woods
4817 Holcomb,19008652.,Homrich,$13258.00,11/26/2017,No,5,42.379265,-83.002213,"location
(42.379265, -83.002213)",Gratiot Woods
4791 Holcomb,19008656.,Homrich,$22056.00,11/26/2017,No,5,42.378974,-83.002004,"location
(42.378974, -83.002004)",Gratiot Woods
4785 Holcomb,19008657.,Homrich,$31395.00,11/26/2017,No,5,42.378902,-83.001952,"location
(42.378902, -83.001952)",Gratiot Woods
4407 Holcomb,19008687.,Homrich,$15256.00,11/26/2017,No,5,42.375986,-82.999849,"location
(42.375986, -82.999849)",Gratiot Woods
4401 Holcomb,19008688.,Homrich,$13939.00,11/26/2017,No,5,42.375917,-82.9998,"location
(42.375917, -82.9998)",Gratiot Woods
4233 Holcomb,19008695.,Homrich,$17828.00,11/26/2017,No,5,42.375255,-82.999319,"location
(42.375255, -82.999319)",Gratiot Woods
4173 Holcomb,19008705.,Homrich,$27660.00,11/26/2017,No,5,42.374529,-82.998795,"location
(42.374529, -82.998795)",Gratiot Woods
13134 Chelsea,21007896.,Homrich,$14385.00,11/26/2017,No,4,42.409861,-82.975012,"location
(42.409861, -82.975012)",Outer Drive-Hayes
12580 Chelsea,21007928.,"Adamo Group, Inc.",$17152.00,11/13/2017,No,4,42.407685,-82.981354,"location
(42.407685, -82.981354)",Wade
12568 Chelsea,21007930.,"Adamo Group, Inc.",$11771.00,11/13/2017,No,4,42.407614,-82.981555,"location
(42.407614, -82.981555)",Wade
12137 Asbury Park,22062138.,Able Demolition,$15609.55,10/11/2017,No,7,42.376574,-83.207724,"location
(42.376574, -83.207724)",Plymouth-I96
11741 Asbury Park,22062158.,Able Demolition,$13236.05,10/11/2017,No,7,42.374491,-83.207636,"location
(42.374491, -83.207636)",Plymouth-I96
9735 Hayes,21056724-5,Homrich,$15840.00,11/26/2017,No,4,42.410915,-82.96498,"location
(42.410915, -82.96498)",Outer Drive-Hayes
11744 Duchess,21057747.,Homrich,$16139.00,11/26/2017,No,4,42.422137,-82.957963,"location
(42.422137, -82.957963)",Denby
15432 Freeland,22035646.,Able Demolition,$12924.16,09/25/2017,No,1,42.404251,-83.185318,"location
(42.404251, -83.185318)",Bethune Community
15762 Freeland,22035670.,Able Demolition,$11817.00,09/27/2017,No,1,42.406721,-83.185434,"location
(42.406721, -83.185434)",Bethune Community
15766 Freeland,22035671.,Able Demolition,$15147.17,09/28/2017,No,1,42.406817,-83.185439,"location
(42.406817, -83.185439)",Bethune Community
12010 Longview,21007608.,Rickman Enterprise Group,$14961.96,11/06/2017,No,4,42.404336,-82.987561,"location
(42.404336, -82.987561)",Wade
12002 Longview,21007609.,Rickman Enterprise Group,$12595.14,11/06/2017,No,4,42.404296,-82.987678,"location
(42.404296, -82.987678)",Wade
11792 Longview,21007619.,Rickman Enterprise Group,$26906.23,11/06/2017,No,4,42.403763,-82.98922,"location
(42.403763, -82.98922)",Wade
11760 Longview,21007623.,Rickman Enterprise Group,$18130.12,11/06/2017,No,4,42.403578,-82.989758,"location
(42.403578, -82.989758)",Wade
11720 Longview,21007628.,Rickman Enterprise Group,$35245.13,11/06/2017,No,4,42.403347,-82.990429,"location
(42.403347, -82.990429)",Wade
10985 Longview,21007653.,Rickman Enterprise Group,$54422.59,11/06/2017,No,4,42.403112,-82.992985,"location
(42.403112, -82.992985)",Wade
11731 Promenade,21008978.,Den-Man Contractors,$13628.00,10/25/2017,No,4,42.406739,-82.992266,"location
(42.406739, -82.992266)",Wade
11717 Winthrop,22052510.,"Adamo Group, Inc.",$14501.00,11/13/2017,No,7,42.374263,-83.19917,"location
(42.374263, -83.19917)",Plymouth-I96
11081 Chelsea,21008074.,Den-Man Contractors,$14946.00,09/25/2017,No,4,42.4045,-82.992258,"location
(42.4045, -82.992258)",Wade
15091 Mayfield,21015113.,Gayanga Co,$15424.52,11/19/2017,No,4,42.422627,-82.965762,"location
(42.422627, -82.965762)",Mapleridge
12030 Prest,22048535.,"Adamo Group, Inc.",$12000.00,11/13/2017,No,7,42.375273,-83.196231,"location
(42.375273, -83.196231)",Plymouth-Hubbell
12020 American,16023830.,"Adamo Group, Inc.",$15383.00,11/13/2017,No,7,42.376406,-83.144255,"location
(42.376406, -83.144255)",Oakman Blvd Community
4598 Pennsylvania,19005667.,"Adamo Group, Inc.",$16446.00,11/13/2017,No,4,42.379487,-82.995926,"location
(42.379487, -82.995926)",West End
4728 Pennsylvania,19005672.,"Adamo Group, Inc.",$13940.00,11/13/2017,No,4,42.380222,-82.996421,"location
(42.380222, -82.996421)",West End
11648 WOODMONT,22062587.,Able Demolition,$12044.25,10/09/2017,No,7,42.373235,-83.208107,"location
(42.373235, -83.208107)",Plymouth-I96
11724 Woodmont,22062598.,Able Demolition,$16215.55,10/09/2017,No,7,42.374291,-83.208134,"location
(42.374291, -83.208134)",Plymouth-I96
4900 Mcclellan,19006829.,Homrich,$16017.00,11/26/2017,No,4,42.380425,-82.999687,"location
(42.380425, -82.999687)",West End
5132 Mcclellan,19006849.,Homrich,$11582.00,11/26/2017,No,4,42.382298,-83.001016,"location
(42.382298, -83.001016)",West End
15817 Littlefield,22027258.,DMC Consultants,$25990.00,10/29/2017,No,2,42.407905,-83.176473,"location
(42.407905, -83.176473)",Bethune Community
15011 Littlefield,22027324.,Salenbien Trucking & Excavating Inc.,$12600.00,12/19/2017,No,2,42.400169,-83.176114,"location
(42.400169, -83.176114)",Bethune Community
12092 Grandmont,22064771.,Gayanga Co,$10671.71,11/09/2017,No,7,42.375952,-83.209398,"location
(42.375952, -83.209398)",Plymouth-I96
12145 Grandmont,22065046.,Gayanga Co,$26968.70,11/09/2017,No,7,42.376621,-83.210108,"location
(42.376621, -83.210108)",Plymouth-I96
15000 Lannette,21010228.,Homrich,$14678.00,11/26/2017,No,4,42.417292,-82.96526,"location
(42.417292, -82.96526)",Outer Drive-Hayes
14742 Lannette,21010256.,Homrich,$40433.00,11/26/2017,No,4,42.417259,-82.969382,"location
(42.417259, -82.969382)",Outer Drive-Hayes
14566 Lannette,21010266.,Homrich,$15259.00,11/26/2017,No,4,42.417278,-82.97105,"location
(42.417278, -82.97105)",Outer Drive-Hayes
14709 Lannette,21010280.,Homrich,$14159.00,11/26/2017,No,4,42.41773,-82.97008,"location
(42.41773, -82.97008)",Outer Drive-Hayes
15728 Lesure,22032674.,DMC Consultants,$15402.50,10/29/2017,No,2,42.406183,-83.181095,"location
(42.406183, -83.181095)",Bethune Community
15459 Lesure,22033201.,Salenbien Trucking & Excavating Inc.,$10082.00,12/19/2017,No,2,42.404733,-83.181669,"location
(42.404733, -83.181669)",Bethune Community
15443 Lesure,22033203.,Salenbien Trucking & Excavating Inc.,$9368.00,12/19/2017,No,2,42.404541,-83.181661,"location
(42.404541, -83.181661)",Bethune Community
15409 Lesure,22033208.,DMC Consultants,$14954.80,10/29/2017,No,2,42.404061,-83.181639,"location
(42.404061, -83.181639)",Bethune Community
9655 Ward,22025430.,"Adamo Group, Inc.",$10427.00,11/13/2017,No,7,42.368117,-83.17327,"location
(42.368117, -83.17327)",Barton-McFarland
9645 Ward,22025431.,"Adamo Group, Inc.",$30164.00,11/13/2017,No,7,42.368007,-83.173266,"location
(42.368007, -83.173266)",Barton-McFarland
11670 Mettetal,22059758.,Able Demolition,$22184.65,10/24/2017,No,7,42.373563,-83.205684,"location
(42.373563, -83.205684)",Plymouth-I96
4708 St Clair,21038665.,"Adamo Group, Inc.",$12551.00,11/13/2017,No,4,42.382145,-82.990831,"location
(42.382145, -82.990831)",East Canfield
15352 Hubbell,22039041.,Able Demolition,$23538.05,09/28/2017,No,1,42.402873,-83.188618,"location
(42.402873, -83.188618)",Bethune Community
5836 Barrett,21036732.,"Adamo Group, Inc.",$13944.00,11/13/2017,No,4,42.395865,-82.981907,"location
(42.395865, -82.981907)",Chandler Park
6026 Barrett,21036747.,"Adamo Group, Inc.",$24097.00,11/13/2017,No,4,42.397392,-82.982905,"location
(42.397392, -82.982905)",Chandler Park
12001 Woodmont,22062952.,Gayanga Co,$11760.88,11/09/2017,No,7,42.374694,-83.208816,"location
(42.374694, -83.208816)",Plymouth-I96
11727 Woodmont,22062955.,Gayanga Co,$10901.63,11/09/2017,No,7,42.374264,-83.208802,"location
(42.374264, -83.208802)",Plymouth-I96
11711 Woodmont,22062957.,Gayanga Co,$13099.87,11/09/2017,No,7,42.374072,-83.208798,"location
(42.374072, -83.208798)",Plymouth-I96
11641 Woodmont,22062967.,Gayanga Co,$10749.82,09/22/2017,No,7,42.373112,-83.208774,"location
(42.373112, -83.208774)",Plymouth-I96
12060 Terry,22042898.008,"Adamo Group, Inc.",$13434.00,11/13/2017,No,7,42.375859,-83.190833,"location
(42.375859, -83.190833)",Plymouth-Hubbell
5374 Crane,19009829.,"Adamo Group, Inc.",$12699.00,11/13/2017,No,5,42.382571,-83.006994,"location
(42.382571, -83.006994)",Gratiot Woods
14872 Manor,16045295.,"Adamo Group, Inc.",$31244.00,11/13/2017,No,2,42.39882,-83.167843,"location
(42.39882, -83.167843)",Bethune Community
12150 Rutland,22068691.,"Adamo Group, Inc.",$12579.00,10/25/2017,No,7,42.376672,-83.213083,"location
(42.376672, -83.213083)",Plymouth-I96
5311 Proctor,18012827.,Rickman Enterprise Group,$47970.00,11/19/2017,Yes,6,42.334408,-83.138252,"location
(42.334408, -83.138252)",Claytown
5634 Florida,18012919.,Blue Star,$20900.00,11/14/2017,No,6,42.336392,-83.140142,"location
(42.336392, -83.140142)",Claytown
5793 Mcclellan,19007085.,Rickman Enterprise Group,$26632.03,11/19/2017,No,5,42.387147,-83.005153,"location
(42.387147, -83.005153)",Gratiot Woods
5403 Mcclellan,19007112.,"Adamo Group, Inc.",$31591.00,11/13/2017,No,5,42.38391,-83.002882,"location
(42.38391, -83.002882)",Gratiot Woods
5325 Mcclellan,19007117.,"Adamo Group, Inc.",$13035.00,11/13/2017,No,5,42.383545,-83.002625,"location
(42.383545, -83.002625)",Gratiot Woods
5139 Mcclellan,19007132.,"Adamo Group, Inc.",$12725.00,11/13/2017,No,5,42.382188,-83.001668,"location
(42.382188, -83.001668)",Gratiot Woods
5075 Mcclellan,19007139.,Homrich,$14493.00,11/26/2017,No,5,42.381678,-83.001306,"location
(42.381678, -83.001306)",Gratiot Woods
4851 Mcclellan,19007159.,Homrich,$17564.00,11/26/2017,No,5,42.380014,-83.000131,"location
(42.380014, -83.000131)",Gratiot Woods
4845 Mcclellan,19007160.,Homrich,$14099.00,11/26/2017,No,5,42.379941,-83.000079,"location
(42.379941, -83.000079)",Gratiot Woods
4713 Mcclellan,19007175.,Homrich,$13729.00,11/26/2017,No,5,42.378845,-82.999311,"location
(42.378845, -82.999311)",Gratiot Woods
3894 Garland,21037829.,"Adamo Group, Inc.",$41830.00,11/13/2017,No,4,42.377599,-82.989037,"location
(42.377599, -82.989037)",West End
19966 Annott,21035507.,Blue Star,$17300.00,10/02/2017,No,3,42.443222,-83.002233,"location
(42.443222, -83.002233)",Conner Creek
8894 Sorrento,22023290.,Smalley,$12200.00,10/08/2017,No,7,42.360111,-83.171106,"location
(42.360111, -83.171106)",Barton-McFarland
11661 Dexter,14006241.,"Adamo Group, Inc.",$26400.00,12/20/2017,No,7,42.379322,-83.124297,"location
(42.379322, -83.124297)",Nardin Park
16901 Lawton,12006256.,Homrich,$20900.00,10/03/2017,No,2,42.41635,-83.130721,"location
(42.41635, -83.130721)",Martin Park
6126 Pennsylvania,19005811.,"Adamo Group, Inc.",$15066.00,11/13/2017,No,4,42.392433,-83.004661,"location
(42.392433, -83.004661)",Airport Sub
2413 Hudson,10000673.,DMC Consultants,$16743.50,10/31/2017,No,5,42.353255,-83.091899,"location
(42.353255, -83.091899)",NW Goldberg
9370 Schaefer,22029678.002,Smalley,$20850.00,10/08/2017,No,7,42.364579,-83.177319,"location
(42.364579, -83.177319)",We Care Community
9309 Birwood,18017004.,Smalley,$11050.00,10/08/2017,No,7,42.364129,-83.163344,"location
(42.364129, -83.163344)",Barton-McFarland
19200 Albion,17014258.,Blue Star,$20600.00,09/22/2017,No,3,42.435928,-83.005538,"location
(42.435928, -83.005538)",Pulaski
18688 Dresden,21034691.,Blue Star,$13800.00,09/27/2017,No,3,42.432264,-82.99929,"location
(42.432264, -82.99929)",Von Steuben
20009 Strasburg,21034370.,Blue Star,$23900.00,10/03/2017,No,3,42.443873,-82.999329,"location
(42.443873, -82.999329)",Conner Creek
19556 Joann,21030660.,Blue Star,$15600.00,09/27/2017,No,3,42.439314,-82.989832,"location
(42.439314, -82.989832)",Pulaski
9136 Sorrento,22023303.,Smalley,$22650.00,10/08/2017,No,7,42.361565,-83.171151,"location
(42.361565, -83.171151)",Barton-McFarland
18926 Murray Hill,22060163-4,Blue Star,$32200.00,10/08/2017,No,2,42.428881,-83.208129,"location
(42.428881, -83.208129)",College Park
9376 Schaefer,22029678.003L,Smalley,$15550.00,10/08/2017,No,7,42.364679,-83.177322,"location
(42.364679, -83.177322)",We Care Community
9384 Schaefer,22029679.001,Smalley,$16350.00,10/08/2017,No,7,42.364779,-83.177326,"location
(42.364779, -83.177326)",We Care Community
16610 San Juan,16025525.,Rickman Enterprise Group,$29910.00,10/29/2017,No,2,42.41387,-83.145761,"location
(42.41387, -83.145761)",Fitzgerald/Marygrove
19335 Rogge,15006675.,Blue Star,$13300.00,09/29/2017,No,3,42.436451,-83.030096,"location
(42.436451, -83.030096)",Nortown
8361 Strathmoor,22038645.001,Smalley,$12450.00,10/08/2017,No,7,42.355862,-83.186219,"location
(42.355862, -83.186219)",Joy-Schaefer
19370 Rogge,15006516.,Blue Star,$13600.00,09/29/2017,No,3,42.436934,-83.02949,"location
(42.436934, -83.02949)",Nortown
18985 Trinity,22108658.,Blue Star,$18400.00,10/08/2017,No,1,42.427709,-83.250307,"location
(42.427709, -83.250307)",Holcomb Community
16604 San Juan,16025524.,Rickman Enterprise Group,$25020.00,10/29/2017,No,2,42.413747,-83.145757,"location
(42.413747, -83.145757)",Fitzgerald/Marygrove
19168 Blackmoor,17016142.,Blue Star,$15400.00,09/22/2017,No,3,42.435302,-83.012986,"location
(42.435302, -83.012986)",Pulaski
19627 Waltham,21032839.,Blue Star,$14800.00,09/28/2017,No,3,42.440103,-82.995395,"location
(42.440103, -82.995395)",Pulaski
9189 Littlefield,22027555.,Smalley,$16650.00,10/08/2017,No,7,42.362165,-83.17555,"location
(42.362165, -83.17555)",Barton-McFarland
1955 Hazelwood,08002505.,DMC Consultants,$50454.00,10/08/2017,No,5,42.374173,-83.099271,"location
(42.374173, -83.099271)",North LaSalle
13516 Mendota,16042794.,"Adamo Group, Inc.",$16718.00,11/13/2017,No,7,42.386255,-83.164045,"location
(42.386255, -83.164045)",Northwest Community
3870 Cabot,20007738.,DMC Consultants,$34594.00,10/31/2017,No,6,42.32139,-83.143146,"location
(42.32139, -83.143146)",Claytown
3782 Elmhurst,14004223.,DMC Consultants,$15584.60,10/31/2017,No,7,42.380587,-83.126649,"location
(42.380587, -83.126649)",Nardin Park
14289 Wilfred,21011155.,"Adamo Group, Inc.",$12481.00,11/13/2017,No,4,42.41822,-82.974614,"location
(42.41822, -82.974614)",Eden Gardens
14243 Flanders,21011617.,"Adamo Group, Inc.",$19744.00,11/13/2017,No,4,42.418729,-82.975959,"location
(42.418729, -82.975959)",Eden Gardens
8848 David,19001106.,Homrich,$17814.00,09/25/2017,No,5,42.374473,-83.000369,"location
(42.374473, -83.000369)",Gratiot Woods
14329 Chelsea,21008275.,Homrich,$24715.00,11/26/2017,No,4,42.412274,-82.969911,"location
(42.412274, -82.969911)",Outer Drive-Hayes
4418 Holcomb,19008245.,Homrich,$13591.00,11/26/2017,No,5,42.376371,-82.999408,"location
(42.376371, -82.999408)",Gratiot Woods
4587 Cooper,19006621.,"Adamo Group, Inc.",$14930.00,11/13/2017,No,4,42.378696,-82.997482,"location
(42.378696, -82.997482)",West End
1603 Gladstone,08002398.,DMC Consultants,$72819.00,11/19/2017,No,5,42.374701,-83.094944,"location
(42.374701, -83.094944)",Herman Kiefer
5676 Lawton,10008615.,DMC Consultants,$29966.00,10/31/2017,No,5,42.352877,-83.097564,"location
(42.352877, -83.097564)",NW Goldberg
2900 Harding,21039300.,Rickman Enterprise Group,$18859.95,11/06/2017,No,5,42.371736,-82.981782,"location
(42.371736, -82.981782)",East Village
3834 Monterey,14004402.,DMC Consultants,$17433.00,10/31/2017,No,7,42.381609,-83.128331,"location
(42.381609, -83.128331)",Nardin Park
5183 Rohns,19009417.,"Adamo Group, Inc.",$37517.00,11/13/2017,No,5,42.381836,-83.005359,"location
(42.381836, -83.005359)",Gratiot Woods
5167 Rohns,19009419.,"Adamo Group, Inc.",$12196.00,11/13/2017,No,5,42.381679,-83.005245,"location
(42.381679, -83.005245)",Gratiot Woods
12277 Woodmont,22062920.,Gayanga Co,$11394.31,11/09/2017,No,7,42.377995,-83.208922,"location
(42.377995, -83.208922)",Plymouth-I96
3737 Mcclellan,19007241.,Rickman Enterprise Group,$28215.46,11/06/2017,No,5,42.372472,-82.994788,"location
(42.372472, -82.994788)",Gratiot Woods
2515 Lenox,21050107.,DMC Consultants,$14021.00,12/19/2017,No,4,42.37803,-82.95669,"location
(42.37803, -82.95669)",Riverbend
5407 Rohns,19009399.,"Adamo Group, Inc.",$14280.00,11/13/2017,No,5,42.383339,-83.006702,"location
(42.383339, -83.006702)",Gratiot Woods
15057 Freeland,22036233.,Able Demolition,$12928.00,10/24/2017,No,1,42.40056,-83.18576,"location
(42.40056, -83.18576)",Bethune Community
5527 Mcclellan,19007098.,"Adamo Group, Inc.",$11094.00,11/13/2017,No,5,42.384949,-83.003611,"location
(42.384949, -83.003611)",Gratiot Woods
14496 Wilshire,21008322.,Homrich,$16403.00,11/26/2017,No,4,42.412803,-82.967886,"location
(42.412803, -82.967886)",Outer Drive-Hayes
5451 Mcclellan,19007104.,"Adamo Group, Inc.",$12739.00,11/13/2017,No,5,42.384511,-83.003304,"location
(42.384511, -83.003304)",Gratiot Woods
15383 Marlowe,22041253.,Able Demolition,$15904.67,10/06/2017,No,1,42.403428,-83.190506,"location
(42.403428, -83.190506)",Belmont
14634 Marlowe,22040728.,Salenbien Trucking & Excavating Inc.,$9277.00,12/19/2017,No,1,42.396463,-83.18941,"location
(42.396463, -83.18941)",Hubbell-Lyndon
4829 Devonshire,21070610.,Farrow Group,$11013.50,10/12/2017,No,4,42.400275,-82.941385,"location
(42.400275, -82.941385)",Morningside
2713 Earle Pl,10000450.,Blue Star,$28400.00,10/08/2017,Yes,6,42.344117,-83.091649,"location
(42.344117, -83.091649)",Core City
806 S Solvay,18009507.002L,Rickman Enterprise Group,$10110.00,11/19/2017,Yes,6,42.294502,-83.110142,"location
(42.294502, -83.110142)",Delray
2740 Richton,10003501.,"Adamo Group, Inc.",$257400.00,12/18/2017,Yes,5,42.385461,-83.119957,"location
(42.385461, -83.119957)",Dexter-Linwood
12129 N Martindale,14007696.,"Adamo Group, Inc.",$14150.00,11/13/2017,No,7,42.3799,-83.133482,"location
(42.3799, -83.133482)",Nardin Park
5722 Collingwood,16005377.,"Adamo Group, Inc.",$11446.00,11/13/2017,No,7,42.371562,-83.138256,"location
(42.371562, -83.138256)",Nardin Park
4284 Richton,14004467.,"Adamo Group, Inc.",$43749.00,11/13/2017,No,7,42.38091,-83.132293,"location
(42.38091, -83.132293)",Nardin Park
4260 Duane,14004283.,"Adamo Group, Inc.",$26190.00,11/13/2017,No,7,42.37975,-83.131042,"location
(42.37975, -83.131042)",Nardin Park
3406 Ewald Circle,16024214-5,"Adamo Group, Inc.",$16065.00,11/13/2017,No,7,42.381211,-83.145449,"location
(42.381211, -83.145449)",Oakman Blvd Community
12071 Yosemite,14012911.,"Adamo Group, Inc.",$15217.00,11/13/2017,No,7,42.377571,-83.136944,"location
(42.377571, -83.136944)",Nardin Park
6227 Canton,15010264.,Blue Star,$16600.00,11/14/2017,No,5,42.382969,-83.028636,"location
(42.382969, -83.028636)",Gratiot Town/Ketterring
19495 Stotter,15005852.,Gayanga Co,$13475.82,11/19/2017,No,3,42.438713,-83.025756,"location
(42.438713, -83.025756)",Nortown
13737 Keal,22004746-7,"Adamo Group, Inc.",$17869.00,11/13/2017,No,7,42.369715,-83.179887,"location
(42.369715, -83.179887)",Plymouth-Hubbell
2917 Fairview,21042460.,Rickman Enterprise Group,$10978.52,11/06/2017,No,4,42.372964,-82.979009,"location
(42.372964, -82.979009)",East Village
2219 Algonquin,21047136.,DMC Consultants,$15691.50,12/19/2017,No,4,42.375917,-82.960586,"location
(42.375917, -82.960586)",Riverbend
4726 St Clair,21038668.,"Adamo Group, Inc.",$14961.00,11/13/2017,No,4,42.382363,-82.990985,"location
(42.382363, -82.990985)",East Canfield
