Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
3829 Cadillac,19005374.,"Adamo Group, Inc.",$23144.00,11/13/2017,No,4,42.375103,-82.992349,"location
(42.375103, -82.992349)",West End
3823 Cadillac,19005375.,"Adamo Group, Inc.",$42813.00,11/13/2017,No,4,42.375029,-82.9923,"location
(42.375029, -82.9923)",West End
14574 Littlefield,22026728.,Salenbien Trucking & Excavating Inc.,$12636.00,12/19/2017,No,2,42.396014,-83.175263,"location
(42.396014, -83.175263)",Bethune Community
15474 Littlefield,22026805.,DMC Consultants,$16738.50,10/29/2017,No,2,42.405072,-83.175715,"location
(42.405072, -83.175715)",Bethune Community
14665 Lauder,22042432.,Salenbien Trucking & Excavating Inc.,$9416.00,12/19/2017,No,1,42.396794,-83.190964,"location
(42.396794, -83.190964)",Hubbell-Lyndon
14657 Lauder,22042433.,Salenbien Trucking & Excavating Inc.,$8928.00,12/19/2017,No,1,42.396706,-83.190961,"location
(42.396706, -83.190961)",Hubbell-Lyndon
12781 Tuller,16027183.,"Adamo Group, Inc.",$16231.00,11/13/2017,No,7,42.383624,-83.146624,"location
(42.383624, -83.146624)",Oakman Blvd Community
12254 Cheyenne,22025715.,"Adamo Group, Inc.",$22558.00,11/13/2017,No,7,42.378237,-83.174183,"location
(42.378237, -83.174183)",Pride Area Community
12304 Cheyenne,22025719.,"Adamo Group, Inc.",$11718.00,11/13/2017,No,7,42.378922,-83.174207,"location
(42.378922, -83.174207)",Pride Area Community
8854 E Canfield,19001155.,Homrich,$15316.00,09/25/2017,No,5,42.375162,-83.00075,"location
(42.375162, -83.00075)",Gratiot Woods
8830 E Canfield,19001159.,Homrich,$14222.00,11/26/2017,No,5,42.375006,-83.001141,"location
(42.375006, -83.001141)",Gratiot Woods
8861 E Canfield,19001168.,Homrich,$24524.00,11/26/2017,No,5,42.375573,-83.000914,"location
(42.375573, -83.000914)",Gratiot Woods
5313 Garland,21038091.,"Adamo Group, Inc.",$13202.00,11/13/2017,No,4,42.387362,-82.996497,"location
(42.387362, -82.996497)",West End
5307 Garland,21038092.,"Adamo Group, Inc.",$9740.00,11/13/2017,No,4,42.387289,-82.996447,"location
(42.387289, -82.996447)",West End
