Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
14281 Washburn,16039850.,RDC Construction Services,$24016.00,06/28/2016,No,7,42.392828,-83.160797,"14281 Washburn
(42.392828, -83.160797)",Northwest Community
14283 Fordham,21019861.,Farrow Group,$13057.50,12/09/2015,No,4,42.43452,-82.975704,"14283 Fordham
(42.43452, -82.975704)",Mapleridge
14285 Lauder,22042464.,Rickman Enterprise Group,$20270.00,11/22/2016,No,1,42.392141,-83.190787,"14285 Lauder
(42.392141, -83.190787)",Hubbell-Lyndon
14286 Rochelle,21015189.,Homrich,$12800.00,07/18/2016,No,4,42.422818,-82.975254,"14286 Rochelle
(42.422818, -82.975254)",Mapleridge
14286 Troester,21016648.,DMC Consultants,$21425.00,04/14/2016,No,4,42.426024,-82.975371,"14286 Troester
(42.426024, -82.975371)",Mapleridge
14287 Troester,21016753.,DMC Consultants,$8471.92,03/30/2016,No,4,42.426474,-82.97539,"14287 Troester
(42.426474, -82.97539)",Mapleridge
14289 Cedargrove,21016466.,DMC Consultants,$22500.01,04/14/2016,No,4,42.425672,-82.975341,"14289 Cedargrove
(42.425672, -82.975341)",Mapleridge
1429 Pingree,06002022.,Salenbien Trucking & Excavating Inc.,$8862.05,03/09/2016,No,5,42.373689,-83.091101,"1429 Pingree
(42.373689, -83.091101)",Herman Kiefer
14292 Seymour,21016940.,DMC Consultants,$7832.00,03/30/2016,No,4,42.42681,-82.975258,"14292 Seymour
(42.42681, -82.975258)",Mapleridge
14293 Rochelle,21015348.,Homrich,$15000.00,11/30/2015,No,4,42.423257,-82.975126,"14293 Rochelle
(42.423257, -82.975126)",Mapleridge
14295 Troester,21016754.,DMC Consultants,$10124.00,03/30/2016,No,4,42.426474,-82.975251,"14295 Troester
(42.426474, -82.975251)",Mapleridge
14300 Auburn,22092485.,Brown Environmental Construction,$5715.00,05/14/2016,No,1,42.391249,-83.234295,"14300 Auburn
(42.391249, -83.234295)",Westwood Park
14300 Grandville,22088347.,DMC Consultants,$10761.00,05/20/2014,No,1,42.391361,-83.230654,"14300 Grandville
(42.391361, -83.230654)",Westwood Park
14300 Minock,22090802.,"Adamo Group, Inc.",$9046.00,04/04/2016,No,1,42.391261,-83.233084,"14300 Minock
(42.391261, -83.233084)",Westwood Park
14301 Westbrook,22110267.,Rickman Enterprise Group,$12730.00,09/04/2015,No,1,42.390917,-83.25062,"14301 Westbrook
(42.390917, -83.25062)",Brightmoor
14303 Minock,22091283.,Homrich,$7500.00,08/01/2014,No,1,42.391249,-83.23378,"14303 Minock
(42.391249, -83.23378)",Westwood Park
14305 Winthrop,22052397.,Brown Environmental Construction,$10368.00,06/14/2016,No,1,42.391845,-83.199703,"14305 Winthrop
(42.391845, -83.199703)",Greenfield-Grand River
14309 Mark Twain,22037338.,Able Demolition,$10857.50,12/09/2016,No,1,42.392653,-83.186569,"14309 Mark
(42.392653, -83.186569)",Hubbell-Lyndon
1431 Calvert,06002734.,Homrich,$16100.00,12/29/2014,No,5,42.384566,-83.098574,"1431 Calvert
(42.384566, -83.098574)",Gateway Community
14310 Minock,22090803.,Salenbien Trucking & Excavating Inc.,$10761.00,05/22/2015,No,1,42.391357,-83.233088,"14310 Minock
(42.391357, -83.233088)",Westwood Park
14311 Winthrop,22052396.,MCM,$11731.00,07/31/2014,No,1,42.391955,-83.199709,"14311 Winthrop
(42.391955, -83.199709)",Greenfield-Grand River
14314 Auburn,22092486.,"Direct Construction Services, LLC",$14328.70,11/06/2015,No,1,42.391369,-83.2343,"14314 Auburn
(42.391369, -83.2343)",Westwood Park
14314 Frankfort,21003120.,"Adamo Group, Inc.",$18229.17,10/03/2014,No,4,42.396461,-82.960572,"14314 Frankfort
(42.396461, -82.960572)",Chandler Park-Chalmers
14316 Coyle,22044892.,Able Demolition,$7474.00,09/08/2014,No,1,42.392376,-83.193149,"14316 Coyle
(42.392376, -83.193149)",Hubbell-Lyndon
14317 Westwood,22089956.,Homrich,$9400.00,06/12/2015,No,1,42.391465,-83.23254,"14317 Westwood
(42.391465, -83.23254)",Westwood Park
14318 Westwood,22089478.,Salenbien Trucking & Excavating Inc.,$6978.00,05/22/2015,No,1,42.39148,-83.231858,"14318 Westwood
(42.39148, -83.231858)",Westwood Park
14319 Mark Twain,22037337.,Able Demolition,$11968.50,12/09/2016,No,1,42.392762,-83.186573,"14319 Mark
(42.392762, -83.186573)",Hubbell-Lyndon
1432 Beatrice,20012871.014,Rickman Enterprise Group,$12350.00,06/23/2015,No,6,42.277248,-83.147645,"1432 Beatrice
(42.277248, -83.147645)",Boynton
14322 Evergreen,22095571-2,Rickman Enterprise Group,$22240.00,10/02/2015,No,1,42.391475,-83.236658,"14322 Evergreen
(42.391475, -83.236658)",Westwood Park
14324 Westwood,22089479.,ABC Demolition,$6050.00,05/19/2014,No,1,42.391576,-83.231861,"14324 Westwood
(42.391576, -83.231861)",Westwood Park
14325 Dacosta,22115955.,Farrow Group,$11300.00,04/30/2015,No,1,42.391026,-83.260575,"14325 Dacosta
(42.391026, -83.260575)",Brightmoor
14326 St Marys,22058564.,Rickman Enterprise Group,$10520.00,02/29/2016,No,1,42.392185,-83.205568,"14326 St
(42.392185, -83.205568)",Greenfield-Grand River
1433 Sheridan,17013424.,Futurenet Group,$8318.00,10/17/2014,No,5,42.35344,-83.003074,"1433 Sheridan
(42.35344, -83.003074)",Islandview
14330 Dolphin,22114732.,Leadhead Construction,$9650.00,07/20/2016,No,1,42.391134,-83.258664,"14330 Dolphin
(42.391134, -83.258664)",Brightmoor
14330 Pierson,22106424.,Rickman Enterprise Group,$10250.00,12/10/2015,No,1,42.391388,-83.245264,"14330 Pierson
(42.391388, -83.245264)",Brightmoor
14331 Patton,22104604.,Rickman Enterprise Group,$11720.00,12/22/2015,No,1,42.391421,-83.243665,"14331 Patton
(42.391421, -83.243665)",Brightmoor
14331 Westwood,22089954.,"Adamo Group, Inc.",$12907.00,05/19/2015,No,1,42.391656,-83.232549,"14331 Westwood
(42.391656, -83.232549)",Westwood Park
14335 Westwood,22089953.,ABC Demolition,$7450.00,05/19/2014,No,1,42.391753,-83.232552,"14335 Westwood
(42.391753, -83.232552)",Westwood Park
14336 Dacosta,22115544.,Farrow Group,$11000.00,05/15/2015,No,1,42.391221,-83.259877,"14336 Dacosta
(42.391221, -83.259877)",Brightmoor
14336 Pierson,22106425.,Rickman Enterprise Group,$8640.00,12/10/2015,No,1,42.391484,-83.245268,"14336 Pierson
(42.391484, -83.245268)",Brightmoor
14337 Rockdale,22114468-9,Homrich,$7100.00,05/06/2016,No,1,42.391229,-83.258138,"14337 Rockdale
(42.391229, -83.258138)",Brightmoor
14338 Wilfred,21010842.,Able Demolition,$12685.60,07/09/2015,No,4,42.418104,-82.973537,"14338 Wilfred
(42.418104, -82.973537)",Eden Gardens
1434 Lee Pl,06002126.,DMC Consultants,$10607.00,05/06/2015,No,5,42.374638,-83.091869,"1434 Lee Pl
(42.374638, -83.091869)",Herman Kiefer
14340 Frankfort,21003116.,"Adamo Group, Inc.",$23931.37,10/03/2014,No,4,42.396605,-82.960172,"14340 Frankfort
(42.396605, -82.960172)",Chandler Park-Chalmers
14344 Blackstone,22109054.,Able Demolition,$9721.25,07/14/2016,No,1,42.391519,-83.248666,"14344 Blackstone
(42.391519, -83.248666)",Brightmoor
14344 Minock,22090808.,Rickman Enterprise Group,$14270.00,10/09/2015,No,1,42.391836,-83.23311,"14344 Minock
(42.391836, -83.23311)",Westwood Park
14345 Maddelein,21021482.,"Adamo Group, Inc.",$15131.00,06/04/2015,No,3,42.436228,-82.976146,"14345 Maddelein
(42.436228, -82.976146)",Regent Park
14348 Patton,22103871.,Rickman Enterprise Group,$8460.00,12/24/2015,No,1,42.391718,-83.24309,"14348 Patton
(42.391718, -83.24309)",Brightmoor
14350 Minock,22090809.,Brown Environmental Construction,$5774.00,07/02/2015,No,1,42.391932,-83.233115,"14350 Minock
(42.391932, -83.233115)",Westwood Park
14353 Braile,22105770.,Rickman Enterprise Group,$9050.00,12/17/2015,No,1,42.391687,-83.244775,"14353 Braile
(42.391687, -83.244775)",Brightmoor
14353 Grandville,22088762.,"Adamo Group, Inc.",$12400.00,01/11/2017,No,1,42.391973,-83.231377,"14353 Grandville
(42.391973, -83.231377)",Westwood Park
14353 Plainview,22094494.,ABC Demolition,$7400.00,06/11/2014,No,1,42.391863,-83.23621,"14353 Plainview
(42.391863, -83.23621)",Westwood Park
14356 Rockdale,22114127.,Leadhead Construction,$11138.00,01/26/2017,No,1,42.391547,-83.25749,"14356 Rockdale
(42.391547, -83.25749)",Brightmoor
14358 Dacosta,22115547.,Farrow Group,$11200.00,04/30/2015,No,1,42.3915,-83.259886,"14358 Dacosta
(42.3915, -83.259886)",Brightmoor
14358 Dolphin,22114737.,Blue Star,$10500.00,11/07/2014,No,1,42.39155,-83.258677,"14358 Dolphin
(42.39155, -83.258677)",Brightmoor
14358 Maddelein,21021461.,DMC Consultants,$11428.00,01/21/2015,No,3,42.435709,-82.975823,"14358 Maddelein
(42.435709, -82.975823)",Regent Park
14359 Marlowe,22041324.,Rickman Enterprise Group,$27620.00,07/14/2016,No,1,42.393228,-83.189847,"14359 Marlowe
(42.393228, -83.189847)",Hubbell-Lyndon
1436 Liddesdale,20013617.,Rickman Enterprise Group,$15360.00,07/29/2015,No,6,42.277991,-83.14942,"1436 Liddesdale
(42.277991, -83.14942)",Boynton
14360 Minock,22090810.,Homrich,$17300.00,07/10/2014,No,1,42.392028,-83.233119,"14360 Minock
(42.392028, -83.233119)",Westwood Park
14361 Mark Twain,22037332.,Rickman Enterprise Group,$16570.00,11/17/2016,No,1,42.393338,-83.186594,"14361 Mark
(42.393338, -83.186594)",Hubbell-Lyndon
14363 Dacosta,22115949.,Brown Environmental Construction,$6939.00,07/14/2015,No,1,42.391587,-83.260593,"14363 Dacosta
(42.391587, -83.260593)",Brightmoor
14364 Dacosta,22115548.,Farrow Group,$14140.00,04/30/2015,No,1,42.391595,-83.259889,"14364 Dacosta
(42.391595, -83.259889)",Brightmoor
14364 Dolphin,22114738.,Farrow Group,$14700.00,05/08/2015,No,1,42.39166,-83.25868,"14364 Dolphin
(42.39166, -83.25868)",Brightmoor
1437 Liddesdale,20013269.,Rickman Enterprise Group,$11920.00,07/29/2015,No,6,42.277742,-83.148874,"1437 Liddesdale
(42.277742, -83.148874)",Boynton
14370 Robson,22043646.,Rickman Enterprise Group,$17600.00,08/15/2015,No,1,42.392591,-83.19222,"14370 Robson
(42.392591, -83.19222)",Hubbell-Lyndon
14370 Rockdale,22114129.,Homrich,$13300.00,12/19/2014,No,1,42.391733,-83.257497,"14370 Rockdale
(42.391733, -83.257497)",Brightmoor
14371 Rutherford,22056541.,Homrich,$18300.00,06/10/2015,No,1,42.392731,-83.204027,"14371 Rutherford
(42.392731, -83.204027)",Greenfield-Grand River
14372 Minock,22090812.,Homrich,$16100.00,07/10/2014,No,1,42.392216,-83.233127,"14372 Minock
(42.392216, -83.233127)",Westwood Park
14372 Pierson,22106430.,Rickman Enterprise Group,$14580.00,12/10/2015,No,1,42.391955,-83.245285,"14372 Pierson
(42.391955, -83.245285)",Brightmoor
14373 Minock,22091273.,Homrich,$7900.00,07/10/2014,No,1,42.392205,-83.233824,"14373 Minock
(42.392205, -83.233824)",Westwood Park
14373 Westwood,22089948.,Able Demolition,$7789.63,06/30/2016,No,1,42.392228,-83.232572,"14373 Westwood
(42.392228, -83.232572)",Westwood Park
14376 Freeland,22035561.,Rickman Enterprise Group,$26320.00,11/16/2016,No,1,42.393617,-83.184868,"14376 Freeland
(42.393617, -83.184868)",Hubbell-Lyndon
14376 Grandville,22088356.,DMC Consultants,$6767.00,03/25/2014,No,1,42.392328,-83.230685,"14376 Grandville
(42.392328, -83.230685)",Westwood Park
14377 Dolphin,22115057.,"Adamo Group, Inc.",$15397.00,02/23/2015,No,1,42.391794,-83.259364,"14377 Dolphin
(42.391794, -83.259364)",Brightmoor
14379 Dacosta,22115947.,Farrow Group,$11000.00,04/30/2015,No,1,42.391779,-83.2606,"14379 Dacosta
(42.391779, -83.2606)",Brightmoor
1438 Burlingame,06003105.,Rickman Enterprise Group,$8010.00,02/19/2016,No,5,42.387683,-83.10074,"1438 Burlingame
(42.387683, -83.10074)",Gateway Community
14380 Lamphere,22116186.,Leadhead Construction,$19130.00,09/06/2016,No,1,42.391781,-83.261101,"14380 Lamphere
(42.391781, -83.261101)",Eliza Howell
14380 Westwood,22089487.,Homrich,$6400.00,05/19/2014,No,1,42.392338,-83.231887,"14380 Westwood
(42.392338, -83.231887)",Westwood Park
14381 Minock,22091271-2,MCM,$11828.00,08/04/2014,No,1,42.392321,-83.233829,"14381 Minock
(42.392321, -83.233829)",Westwood Park
14381 Westwood,22089947.,Homrich,$17400.00,06/12/2015,No,1,42.392322,-83.232576,"14381 Westwood
(42.392322, -83.232576)",Westwood Park
14386 Westwood,22089488.,Able Demolition,$10390.38,06/30/2016,No,1,42.392431,-83.23189,"14386 Westwood
(42.392431, -83.23189)",Westwood Park
1439 W Grand Blvd,14008180.,"Adamo Group, Inc.",$28357.00,01/22/2015,No,6,42.342237,-83.106689,"1439 W Grand Blvd
(42.342237, -83.106689)",Chadsey Condon
14391 Dolphin,22115055.,Esso Wrecking Co.,$17110.00,10/22/2015,No,1,42.391985,-83.259371,"14391 Dolphin
(42.391985, -83.259371)",Brightmoor
14392 Westwood,22089489.,DMC Consultants,$5325.00,06/27/2014,No,1,42.392524,-83.231892,"14392 Westwood
(42.392524, -83.231892)",Westwood Park
14393 Grandville,22088756-7,DMC Consultants,$7488.00,09/02/2014,No,1,42.39249,-83.231392,"14393 Grandville
(42.39249, -83.231392)",Westwood Park
14400 Chandler Park Dr,21055446.,Farrow Group,$11400.00,05/02/2015,No,4,42.400329,-82.961459,"14400 Chandler Park Dr
(42.400329, -82.961459)",Chandler Park-Chalmers
14400 Faircrest,21018775.,"313 Construction, LLC",$15673.12,09/23/2015,No,4,42.431845,-82.975004,"14400 Faircrest
(42.431845, -82.975004)",Mapleridge
14400 Westwood,22089490.,Able Demolition,$7413.40,06/30/2016,No,1,42.392617,-83.231896,"14400 Westwood
(42.392617, -83.231896)",Westwood Park
14400 Young,21015500.,Homrich,$12000.00,12/17/2015,No,4,42.423627,-82.974761,"14400 Young
(42.423627, -82.974761)",Mapleridge
14403 Lappin,21021785.,Rickman Enterprise Group,$12930.00,08/03/2015,No,3,42.437249,-82.975095,"14403 Lappin
(42.437249, -82.975095)",Regent Park
14404 Manning,21023166.,"Adamo Group, Inc.",$7651.00,03/30/2016,No,3,42.44065,-82.975335,"14404 Manning
(42.44065, -82.975335)",Franklin
14406 Auburn,22092498.,Able Demolition,$10120.25,09/16/2014,No,1,42.39267,-83.23436,"14406 Auburn
(42.39267, -83.23436)",Westwood Park
14406 Dacosta,22115554.,Esso Wrecking Co.,$15110.00,10/23/2015,No,1,42.392171,-83.259906,"14406 Dacosta
(42.392171, -83.259906)",Brightmoor
14406 Seymour,21016939.,DMC Consultants,$11180.00,03/30/2016,No,4,42.426819,-82.974872,"14406 Seymour
(42.426819, -82.974872)",Mapleridge
14408 Westwood,22089491.,"Adamo Group, Inc.",$5966.00,06/30/2014,No,1,42.392711,-83.231899,"14408 Westwood
(42.392711, -83.231899)",Westwood Park
14409 Strathmoor,22038429.,Rickman Enterprise Group,$23330.00,11/17/2016,No,1,42.39396,-83.187783,"14409 Strathmoor
(42.39396, -83.187783)",Hubbell-Lyndon
1441 Calvert,06002735.,ABC Demolition,$9500.00,05/14/2016,No,5,42.384526,-83.098683,"1441 Calvert
(42.384526, -83.098683)",Gateway Community
14410 Alma,21014662.,"Direct Construction Services, LLC",$22500.00,11/20/2015,No,4,42.421256,-82.97454,"14410 Alma
(42.421256, -82.97454)",Mapleridge
14410 Mayfield,21014911.,DMC Consultants,$8586.00,04/06/2016,No,4,42.422044,-82.974575,"14410 Mayfield
(42.422044, -82.974575)",Mapleridge
14410 Mettetal,22059906.,DMC Consultants,$16170.00,06/26/2015,No,1,42.393289,-83.206735,"14410 Mettetal
(42.393289, -83.206735)",Greenfield-Grand River
14411 Alma,21014786.,Homrich,$10700.00,11/24/2015,No,4,42.421699,-82.974555,"14411 Alma
(42.421699, -82.974555)",Mapleridge
14411 Troester,21016756.,DMC Consultants,$20835.00,04/14/2016,No,4,42.426495,-82.974722,"14411 Troester
(42.426495, -82.974722)",Mapleridge
14411 Wilshire,21008674.,Able Demolition,$13074.45,07/15/2015,No,4,42.413351,-82.969604,"14411 Wilshire
(42.413351, -82.969604)",Outer Drive-Hayes
14412 Fordham,21019782.,Farrow Group,$15835.00,12/09/2015,No,4,42.434108,-82.974882,"14412 Fordham
(42.434108, -82.974882)",Mapleridge
14412 Prevost,22054919.,Homrich,$11700.00,08/06/2014,No,1,42.393341,-83.20239,"14412 Prevost
(42.393341, -83.20239)",Greenfield-Grand River
14413 Westwood,22089942.,Homrich,$9700.00,07/10/2014,No,1,42.392788,-83.232595,"14413 Westwood
(42.392788, -83.232595)",Westwood Park
14414 Minock,22090818.,Homrich,$12500.00,06/15/2015,No,1,42.392775,-83.233153,"14414 Minock
(42.392775, -83.233153)",Westwood Park
14414 Westwood,22089492.,"Adamo Group, Inc.",$6792.00,06/30/2014,No,1,42.392804,-83.231902,"14414 Westwood
(42.392804, -83.231902)",Westwood Park
14415 Glenwood,21018218.,Brown Environmental Construction,$22530.00,09/05/2014,No,4,42.430767,-82.97482,"14415 Glenwood
(42.430767, -82.97482)",Mapleridge
14416 Tacoma,21023614.,Able Demolition,$11152.93,04/21/2015,No,3,42.441433,-82.975111,"14416 Tacoma
(42.441433, -82.975111)",Franklin
14417 Hazelridge,21016181.,Homrich,$21600.00,11/24/2015,No,4,42.424884,-82.974537,"14417 Hazelridge
(42.424884, -82.974537)",Mapleridge
14418 Alma,21014661.,"Direct Construction Services, LLC",$12478.96,11/20/2015,No,4,42.421258,-82.97441,"14418 Alma
(42.421258, -82.97441)",Mapleridge
14419 Kent,21005447.,Able Demolition,$17134.65,07/14/2015,No,4,42.406902,-82.965364,"14419 Kent
(42.406902, -82.965364)",Outer Drive-Hayes
14566 Manning,21023151.,Homrich,$10700.00,11/20/2015,No,3,42.440591,-82.97218,"14566 Manning
(42.440591, -82.97218)",Regent Park
1442 Beatrice,20012871.013,Rickman Enterprise Group,$21690.00,06/23/2015,No,6,42.277135,-83.147742,"1442 Beatrice
(42.277135, -83.147742)",Boynton
14420 Dacosta,22115556.,Farrow Group,$14000.00,04/30/2015,No,1,42.392363,-83.259912,"14420 Dacosta
(42.392363, -83.259912)",Brightmoor
14420 Pierson,22106437.,"313 Construction, LLC",$5801.11,03/28/2016,No,1,42.392608,-83.245308,"14420 Pierson
(42.392608, -83.245308)",Brightmoor
14420 Saratoga,21019066.,Able Demolition,$21385.00,02/18/2016,No,4,42.432609,-82.974709,"14420 Saratoga
(42.432609, -82.974709)",Mapleridge
14421 Auburn,22092648.,Homrich,$13400.00,06/23/2015,No,1,42.392829,-83.235052,"14421 Auburn
(42.392829, -83.235052)",Westwood Park
14421 Westwood,22089940-1,Homrich,$9200.00,07/10/2014,No,1,42.392928,-83.232601,"14421 Westwood
(42.392928, -83.232601)",Westwood Park
14423 Elmdale,21007453.,Blue Star,$13800.00,06/16/2016,No,4,42.410597,-82.96754,"14423 Elmdale
(42.410597, -82.96754)",Outer Drive-Hayes
14423 Glenwood,21018219.,"313 Construction, LLC",$35507.64,10/28/2015,No,4,42.43077,-82.974672,"14423 Glenwood
(42.43077, -82.974672)",Mapleridge
14423 Maddelein,21021491.,"Adamo Group, Inc.",$12030.00,07/28/2015,No,3,42.43629,-82.974676,"14423 Maddelein
(42.43629, -82.974676)",Regent Park
14425 Manning,21023309.,Den-Man Contractors,$6000.00,01/21/2014,No,3,42.441086,-82.974985,"14425 Manning
(42.441086, -82.974985)",Franklin
14426 Pierson,22106438-9,"313 Construction, LLC",$8634.44,03/28/2016,No,1,42.392748,-83.245314,"14426 Pierson
(42.392748, -83.245314)",Brightmoor
14426 Sussex,22046164.,Homrich,$18600.00,06/11/2015,No,1,42.394075,-83.194356,"14426 Sussex
(42.394075, -83.194356)",Hubbell-Lyndon
14428 Dacosta,22115557.,Farrow Group,$11000.00,04/30/2015,No,1,42.392459,-83.259915,"14428 Dacosta
(42.392459, -83.259915)",Brightmoor
14428 Promenade,21008752.,Brown Environmental Construction,$6480.00,05/28/2014,No,4,42.413706,-82.969735,"14428 Promenade
(42.413706, -82.969735)",Outer Drive-Hayes
14429 Park Grove,21017895.,"Adamo Group, Inc.",$13792.00,07/07/2016,No,4,42.430017,-82.974508,"14429 Park Grove
(42.430017, -82.974508)",Mapleridge
1443 W Philadelphia,06001938.,DMC Consultants,$13532.00,05/08/2015,No,5,42.372961,-83.090936,"1443 W Philadelphia
(42.372961, -83.090936)",Herman Kiefer
14430 Eastwood,21019426.,Brown Environmental Construction,$20880.00,12/15/2014,No,4,42.433362,-82.974571,"14430 Eastwood
(42.433362, -82.974571)",Mapleridge
14432 Ardmore,22034571.,Homrich,$13000.00,06/09/2015,No,7,42.394412,-83.183894,"14432 Ardmore
(42.394412, -83.183894)",Grand River-I96
14432 Grandville,22088363.,DMC Consultants,$4147.80,04/08/2014,No,1,42.393096,-83.23071,"14432 Grandville
(42.393096, -83.23071)",Westwood Park
14432 Patton,22103883.,Homrich,$11000.00,02/24/2016,No,1,42.39285,-83.243131,"14432 Patton
(42.39285, -83.243131)",Brightmoor
14432 Plainview,22093906.,Brown Environmental Construction,$3594.00,05/14/2016,No,1,42.393002,-83.235594,"14432 Plainview
(42.393002, -83.235594)",Westwood Park
14432 Westwood,22089495.,Salenbien Trucking & Excavating Inc.,$6093.75,03/23/2017,No,1,42.393059,-83.231911,"14432 Westwood
(42.393059, -83.231911)",Westwood Park
14433 Minock,22091264.,ABC Demolition,$5850.00,05/22/2014,No,1,42.393044,-83.233862,"14433 Minock
(42.393044, -83.233862)",Westwood Park
14437 Mapleridge,21017583.,Blue Star,$29500.00,09/24/2014,No,4,42.429243,-82.974338,"14437 Mapleridge
(42.429243, -82.974338)",Mapleridge
14438 Coram,21022096.,Rickman Enterprise Group,$14790.00,07/23/2015,No,3,42.437759,-82.974504,"14438 Coram
(42.437759, -82.974504)",Regent Park
14440 Tacoma,21023611.,Blue Star,$16300.00,08/24/2015,No,3,42.441443,-82.974722,"14440 Tacoma
(42.441443, -82.974722)",Franklin
14441 Fordham,21019867.,"Adamo Group, Inc.",$10482.00,07/07/2016,No,4,42.43454,-82.974449,"14441 Fordham
(42.43454, -82.974449)",Mapleridge
14444 Mapleridge,21017468.,Blue Star,$18900.00,09/24/2014,No,4,42.428716,-82.974169,"14444 Mapleridge
(42.428716, -82.974169)",Mapleridge
14444 Rossini Drive,21024841.,DMC Consultants,$12926.00,01/28/2015,No,3,42.443084,-82.974638,"14444 Rossini Drive
(42.443084, -82.974638)",Mohican Regent
14445 Mapleridge,21017584.,Blue Star,$35700.00,09/24/2014,No,4,42.429246,-82.974192,"14445 Mapleridge
(42.429246, -82.974192)",Mapleridge
14447 Tacoma,21023820.,"313 Construction, LLC",$8929.58,09/22/2015,No,3,42.441883,-82.97461,"14447 Tacoma
(42.441883, -82.97461)",Franklin
1445 Calvert,06002736-45,"Adamo Group, Inc.",$33464.00,10/06/2015,No,5,42.384486,-83.098793,"1445 Calvert
(42.384486, -83.098793)",Gateway Community
1445 Chicago,06002544.,1 Way Service,$23400.00,07/03/2015,No,5,42.381395,-83.0967,"1445 Chicago
(42.381395, -83.0967)",Boston Edison
1445 Liddesdale,20013270.,Homrich,$13290.00,05/25/2016,No,6,42.277662,-83.148947,"1445 Liddesdale
(42.277662, -83.148947)",Boynton
14452 Mapleridge,21017467.,Blue Star,$15900.00,09/24/2014,No,4,42.428719,-82.974024,"14452 Mapleridge
(42.428719, -82.974024)",Mapleridge
14452 Tacoma,21023609.,Blue Star,$16400.00,08/24/2015,No,3,42.44145,-82.974463,"14452 Tacoma
(42.44145, -82.974463)",Franklin
14453 Cedargrove,21016475.,DMC Consultants,$9830.00,01/21/2015,No,4,42.425711,-82.973918,"14453 Cedargrove
(42.425711, -82.973918)",Mapleridge
14455 Tacoma,21023821.,Blue Star,$16900.00,08/21/2015,No,3,42.441886,-82.97448,"14455 Tacoma
(42.441886, -82.97448)",Franklin
14456 Wilfred,21010836.,Rickman Enterprise Group,$9740.00,03/28/2016,No,4,42.418608,-82.972092,"14456 Wilfred
(42.418608, -82.972092)",Outer Drive-Hayes
1446 Calvert,06002789.,Homrich,$14500.00,05/01/2014,No,5,42.384942,-83.099101,"1446 Calvert
(42.384942, -83.099101)",Gateway Community
14461 Fordham,21019870.,Rickman Enterprise Group,$9610.00,03/21/2016,No,4,42.434552,-82.974014,"14461 Fordham
(42.434552, -82.974014)",Mapleridge
14467 Houston-Whittier,21014531-3,Dore & Associates,$68000.00,10/21/2016,Yes,4,42.420928,-82.973491,"14467 Houston
(42.420928, -82.973491)",Mapleridge
14467 Tacoma,21023823.,Blue Star,$14400.00,08/21/2015,No,3,42.441893,-82.974221,"14467 Tacoma
(42.441893, -82.974221)",Franklin
14470 Novara,21022465.,Timesavers Contracting,$11250.00,09/09/2015,No,3,42.438995,-82.973902,"14470 Novara
(42.438995, -82.973902)",Regent Park
14477 Fordham,21019872.,DMC Consultants,$9800.00,01/09/2015,No,4,42.43456,-82.973727,"14477 Fordham
(42.43456, -82.973727)",Mapleridge
1448 W Philadelphia,06001976.,"Adamo Group, Inc.",$15831.70,10/03/2014,No,5,42.373281,-83.091282,"1448 W Philadelphia
(42.373281, -83.091282)",Herman Kiefer
14480 Glenfield,21010412.,Rickman Enterprise Group,$9930.00,03/28/2016,No,4,42.41803,-82.971211,"14480 Glenfield
(42.41803, -82.971211)",Outer Drive-Hayes
14480 Spring Garden,21017226.,Brown Environmental Construction,$5643.00,03/22/2016,No,4,42.427653,-82.973465,"14480 Spring Garden
(42.427653, -82.973465)",Mapleridge
14480 Troester,21016635.,"Adamo Group, Inc.",$9074.00,07/13/2015,No,4,42.426066,-82.973412,"14480 Troester
(42.426066, -82.973412)",Mapleridge
14482 Novara,21022463.,DMC Consultants,$9573.00,05/17/2016,No,3,42.439,-82.97368,"14482 Novara
(42.439, -82.97368)",Regent Park
14486 Flanders,21011262.,Homrich,$24800.00,11/30/2015,No,4,42.41951,-82.972027,"14486 Flanders
(42.41951, -82.972027)",Outer Drive-Hayes
14487 Novara,21022472.,Rickman Enterprise Group,$14900.00,07/03/2015,No,3,42.439449,-82.97359,"14487 Novara
(42.439449, -82.97359)",Regent Park
14489 Linnhurst,21018557.,"Adamo Group, Inc.",$12615.00,07/06/2016,No,4,42.431556,-82.973416,"14489 Linnhurst
(42.431556, -82.973416)",Mapleridge
14489 Seymour,21017048.,"Adamo Group, Inc.",$12017.00,07/08/2016,No,4,42.4273,-82.973323,"14489 Seymour
(42.4273, -82.973323)",Mapleridge
14490 Glenfield,21010411.,Able Demolition,$11503.90,01/16/2015,No,4,42.418055,-82.971083,"14490 Glenfield
(42.418055, -82.971083)",Outer Drive-Hayes
14491 Mapleridge,21017590.,Blue Star,$20900.00,09/24/2014,No,4,42.429267,-82.973381,"14491 Mapleridge
(42.429267, -82.973381)",Mapleridge
14494 Robson,22043664.,Able Demolition,$32359.20,02/26/2016,No,1,42.394319,-83.192291,"14494 Robson
(42.394319, -83.192291)",Hubbell-Lyndon
1450 Liddesdale,20013615.,Rickman Enterprise Group,$12300.00,07/22/2015,No,6,42.277829,-83.149558,"1450 Liddesdale
(42.277829, -83.149558)",Boynton
