date,district,latitude,longitude
07/25/2014,7,42.369909,-83.16425
05/21/2016,4,42.413895,-82.959448
06/23/2016,4,42.419017,-82.944592
02/01/2017,6,42.281472,-83.146514
04/25/2016,4,42.415727,-82.952524
07/22/2015,6,42.279009,-83.141078
04/23/2016,4,42.414792,-82.955857
05/08/2014,5,42.389339,-83.088477
08/17/2015,6,42.281981,-83.147891
05/03/2016,6,42.308154,-83.108397
06/08/2016,6,42.309227,-83.105759
08/19/2016,4,42.416648,-82.953824
03/22/2016,2,42.431645,-83.104383
04/16/2014,7,42.378218,-83.165935
06/04/2016,4,42.414371,-82.960358
07/02/2014,6,42.306464,-83.112444
05/25/2016,4,42.414792,-82.958755
02/27/2014,5,42.352813,-83.000274
10/19/2015,4,42.371445,-82.95238
09/02/2014,6,42.30735,-83.11085
03/10/2017,7,42.366259,-83.166374
05/25/2016,4,42.415348,-82.959069
06/18/2015,1,42.398286,-83.240893
07/27/2015,4,42.42447,-82.932788
06/18/2015,1,42.398281,-83.241317
09/23/2014,2,42.425916,-83.104236
12/02/2015,4,42.42322,-82.936929
05/25/2016,4,42.415936,-82.95863
09/23/2016,4,42.416651,-82.956805
09/10/2014,4,42.416477,-82.956208
09/02/2014,6,42.308968,-83.106985
05/20/2016,4,42.417041,-82.956513
06/17/2015,1,42.397543,-83.242421
04/29/2016,4,42.415377,-82.961966
08/15/2015,4,42.417018,-82.957817
08/09/2016,4,42.421502,-82.942712
07/15/2015,5,42.371801,-83.017424
04/16/2016,6,42.279959,-83.1446
10/09/2014,4,42.4157,-82.962741
06/22/2015,4,42.42164,-82.941821
10/19/2015,4,42.417375,-82.956818
07/14/2014,6,42.317103,-83.08809
07/10/2014,6,42.308932,-83.107699
05/25/2016,4,42.417977,-82.957096
05/26/2015,5,42.391759,-83.090195
07/27/2015,4,42.422038,-82.942932
06/18/2015,6,42.281324,-83.147926
10/09/2014,4,42.41679,-82.964011
09/24/2015,5,42.348629,-83.012111
06/07/2016,6,42.280569,-83.146509
02/27/2017,4,42.411221,-83.004708
11/25/2015,4,42.412154,-83.005722
03/30/2016,4,42.411265,-83.004517
04/22/2015,4,42.407848,-83.000236
07/09/2015,4,42.411536,-83.004891
01/14/2015,4,42.407888,-83.000118
02/21/2017,7,42.374464,-83.152458
08/16/2015,4,42.417478,-83.010013
05/05/2016,6,42.314432,-83.094455
09/19/2014,7,42.374755,-83.15185
07/09/2015,7,42.374768,-83.151179
05/19/2016,4,42.411671,-83.004506
02/24/2017,4,42.41209,-83.004759
07/10/2015,4,42.411497,-83.003857
07/09/2015,4,42.41175,-83.00428
05/04/2015,6,42.307371,-83.1124
05/04/2016,4,42.420417,-82.951851
02/09/2016,4,42.374169,-82.945352
05/08/2014,5,42.379424,-83.081918
07/14/2015,4,42.416953,-82.971979
02/26/2016,5,42.350364,-83.008425
08/24/2015,7,42.370285,-83.177536
08/10/2015,7,42.370394,-83.177541
08/16/2015,4,42.41767,-83.009479
04/23/2015,4,42.401079,-82.992323
07/09/2015,4,42.412425,-83.003814
11/30/2015,4,42.4007,-82.991957
05/19/2016,4,42.407796,-82.996789
05/18/2016,4,42.412064,-83.003382
10/05/2015,4,42.411838,-83.002887
07/10/2015,4,42.41259,-83.003348
07/01/2015,1,42.398139,-83.249852
04/27/2016,1,42.398135,-83.249978
07/10/2015,4,42.412672,-83.003114
03/21/2016,4,42.408628,-82.99801
07/10/2015,4,42.412713,-83.002997
04/27/2016,1,42.398125,-83.250358
05/30/2014,1,42.397399,-83.250336
07/10/2015,4,42.412795,-83.002763
