latitude,longitude
42.308483,-83.114564
42.409488,-83.172201
42.338756,-83.046736
42.445839,-83.152231
42.301189,-83.127011
42.420031,-83.106762
42.329553,-83.04831
42.413877,-82.970365
42.398029,-83.159468
42.308411,-83.125033
42.408289,-83.145354
42.447282,-83.063092
42.393276,-82.926311
42.410612,-82.954879
42.338005,-83.051592
42.405986,-83.04333
42.335213,-83.041804
42.351365,-83.065491
42.313034,-83.104896
42.275242,-83.155927
42.393067,-83.257063
42.33143,-83.092644
42.389579,-83.19837
42.330832,-83.152351
42.447027,-83.081329
42.370232,-82.956289
42.41632,-82.910966
42.348904,-83.042125
42.369578,-83.158357
42.357043,-83.265683
42.357926,-83.210556
42.344563,-83.119795
42.331427,-83.065189
42.371818,-83.244257
42.400972,-83.222652
42.331089,-83.132879
42.357816,-82.971783
42.340624,-83.127258
42.323671,-83.09589
42.345659,-83.039993
42.395898,-83.206463
42.319327,-83.098123
42.36603,-83.166536
42.41162,-83.140721
42.329851,-83.040678
42.423559,-83.026446
42.391272,-83.159178
42.429837,-83.229392
42.361482,-83.121079
42.429347,-83.062885
42.389324,-83.130597
42.386889,-83.204873
42.425201,-83.068141
42.322688,-83.105347
42.358648,-82.998411
42.445329,-83.141903
42.417939,-82.9339
42.400084,-83.27433
42.359831,-83.116898
42.353812,-83.062343
42.31442,-83.119984
42.320737,-83.094644
42.429867,-83.227943
42.334583,-83.049144
42.386862,-83.095712
42.352048,-83.13531
42.407586,-82.925665
42.33774,-83.070525
42.360203,-83.065798
42.401902,-83.184884
42.327498,-83.048259
42.444136,-83.222263
42.323788,-83.063432
42.345858,-83.038908
42.450015,-82.956443
42.310781,-83.128824
42.403033,-82.938122
42.338065,-83.053858
42.405115,-82.964324
42.398837,-83.178968
42.32809,-83.050749
42.408439,-83.065792
42.382724,-83.01208
42.41868,-83.062983
42.331382,-83.073023
42.41149,-82.993186
42.318614,-83.088326
42.415698,-83.212289
42.359294,-83.115572
42.336603,-83.137318
42.426331,-83.181444
42.358012,-83.20413
42.432926,-83.072748
42.414229,-82.940004
42.389884,-83.191535
42.336534,-83.026591
42.434426,-82.965442
42.371926,-83.232187
42.366099,-83.197302
42.43548,-82.963669
42.431343,-83.163897
42.334362,-83.031556
42.445419,-83.102808
42.338624,-83.021663
42.315209,-83.109703
42.38599,-83.112157
42.366755,-83.069732
42.344154,-83.074175
42.365538,-83.189442
42.410164,-83.127528
42.396573,-82.920873
42.352455,-83.067276
42.331084,-83.134162
42.331037,-83.129654
42.415967,-82.964813
42.367023,-83.041678
42.412829,-82.969689
42.429811,-83.230321
42.340584,-83.063148
42.34757,-83.063886
42.331403,-83.069926
42.357132,-83.110264
42.327923,-83.156054
42.320336,-83.095636
42.355833,-82.952532
42.328939,-83.047828
42.442474,-83.004999
42.325537,-83.082546
42.32868,-83.135903
42.419093,-83.063896
42.334971,-83.046121
42.368767,-83.077517
42.344855,-83.03907
42.343439,-83.21125
42.388637,-83.276016
42.400281,-83.256088
42.442199,-83.004986
42.427921,-83.070087
42.301189,-83.127011
42.343552,-83.204001
42.370597,-82.997151
42.353421,-83.074398
42.333647,-83.043196
42.331123,-83.126155
42.352963,-83.061665
42.385975,-83.250607
42.366589,-82.971354
42.339194,-83.056858
42.371084,-83.115081
42.357411,-83.243703
42.321911,-83.107266
42.41542,-82.949388
42.329143,-83.048189
42.35776,-83.06488
42.432926,-83.072748
42.311534,-83.108887
42.339144,-83.046874
42.425963,-83.141133
42.345996,-83.039004
42.331948,-83.041749
42.401425,-82.926745
42.431604,-83.115049
42.430158,-83.214465
42.420747,-82.967355
42.309268,-83.125654
42.330746,-83.037946
42.330107,-83.041497
42.442702,-83.201141
42.436124,-82.976966
42.343276,-83.224933
42.387392,-83.186411
42.407153,-83.234414
42.290704,-83.135663
42.434866,-82.98584
42.435307,-83.117139
42.319062,-83.074482
42.344813,-83.106
42.415776,-83.208751
42.442987,-83.269577
42.329753,-83.149007
42.306925,-83.123956
42.373365,-83.246266
42.353095,-83.061771
42.432796,-83.024196
42.345999,-83.066234
42.361902,-83.19717
42.43297,-82.979075
42.424301,-83.180154
42.415707,-82.990425
42.416807,-83.164969
42.336293,-83.04939
42.343096,-83.236334
42.347128,-83.041104
42.387122,-82.948622
42.417607,-83.115049
42.432535,-83.093492
42.415752,-83.209847
42.316291,-83.105509
42.394609,-83.178781
42.334136,-83.032082
42.41779,-82.912265
42.446916,-83.087673
42.426765,-83.124145
42.433301,-83.055324
42.331077,-83.135443
42.358134,-83.199095
42.409169,-83.185583
42.432675,-83.089617
42.351403,-83.060571
42.406776,-82.957403
42.372768,-83.189023
42.339177,-83.126201
42.440202,-83.034258
42.363648,-82.977589
42.403871,-82.9672
42.331116,-83.128908
42.331172,-83.111158
42.417419,-82.934725
42.335039,-83.072602
42.4491,-82.968404
42.435562,-82.952162
42.390379,-83.109103
42.418394,-83.257817
42.355381,-83.007298
42.394086,-82.962555
42.407376,-83.179358
42.402162,-82.940479
42.338058,-83.139527
42.416581,-83.181616
42.323286,-83.084929
42.331374,-83.075671
42.349891,-83.059563
42.368847,-83.120998
42.341371,-83.059881
42.410379,-83.276801
42.335755,-83.026255
42.449231,-82.986385
42.402159,-83.172281
42.369942,-83.078443
42.358001,-82.974052
42.361419,-83.021512
42.394851,-83.115763
42.368268,-82.937302
42.371546,-83.261798
42.351339,-83.196618
42.357592,-83.233901
42.337409,-83.045793
42.35879,-83.166898
42.355241,-83.061767
42.435783,-83.075715
42.337426,-83.013255
42.371952,-83.107779
42.416523,-83.185941
42.336067,-83.048602
42.44407,-83.223817
42.327606,-83.064045
42.433788,-83.03362
42.351053,-82.995378
42.331644,-83.050307
